resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_dram_accesses,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_mac_pj,energy_sram_pj,energy_dram_pj,energy_total_pj,energy_total_mj
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,9536512.0,0.0,75497472,56885248.0,46276608.0,0.7922753156721961,6.25,0.7922535211267545,0.569344,15099494.4,284426240.0,4627660800.0,4927186534.4,4.9271865344
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,10929.0,10621.0,0.0,109290.0,0.0,12390400,12494010.0,14470400.0,0.7120327652763393,0.738525390625,0.7035538189599033,0.007818750000000001,2478080.0,62470050.0,1447040000.0,1511988130.0,1.51198813
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,10942.0,10621.0,0.0,109420.0,0.0,1843200,1126580.0,2588800.0,0.1059222295452405,0.10986328125,0.10466089868825,0.007818750000000001,368640.0,5632900.0,258880000.0,264881540.0,0.26488154
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,3870950.0,0.0,20480000,23758050.0,29501800.0,9.752678176858725,9.765625,9.748370194358133,0.6192,4096000.0,118790250.0,2950180000.0,3073066250.0,3.07306625
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,1968200.0,0.0,14745600,10650500.0,16389300.0,14.044070586083937,14.0625,14.037653079875708,0.6192,2949120.0,53252500.0,1638930000.0,1695131620.0,1.69513162
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,9290280.0,0.0,49152000,57019320.0,70804320.0,9.752678176858725,9.765625,9.748370194358133,1.3932,9830400.0,285096600.0,7080432000.0,7375359000.0,7.375359
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,4723680.0,0.0,35389440,25561200.0,39334320.0,14.044070586083937,14.0625,14.037653079875708,1.3932,7077888.0,127806000.0,3933432000.0,4068315888.0,4.068315888
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,19819264.0,0.0,104857600,121641216.0,151049216.0,9.752678176858725,9.765625,9.748370194358133,2.818048,20971520.0,608206080.0,15104921600.0,15734099200.0,15.7340992
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,10077184.0,0.0,75497472,54530560.0,83913216.0,14.044070586083937,14.0625,14.037653079875708,2.818048,15099494.4,272652800.0,8391321600.0,8679073894.4,8.6790738944
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,45363.0,40991.0,0.0,680445.0,0.0,13009920,13739040.0,13178520.0,2.0663072381742333,3.125,2.0662568306010884,0.281475,2601984.0,68695200.0,1317852000.0,1389149184.0,1.389149184
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,1190040.0,0.7923033389926429,6.25,0.7922535211267571,0.281475,387072.0,7291200.0,119004000.0,126682272.0,0.126682272
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,26655.0,24863.0,0.0,399825.0,0.0,5268480,5755680.0,5402520.0,1.379559988738286,3.125,1.3795045045045031,0.13567500000000002,1053696.0,28778400.0,540252000.0,570084096.0,0.570084096
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,1190040.0,0.7923033389926429,6.25,0.7922535211267571,0.13567500000000002,387072.0,7291200.0,119004000.0,126682272.0,0.126682272
1080p,1920,1080,128,128,7,128,4096,50.0,os,run_0138c7f7e3c9,fc79596e18ca,0138c7f7e3c9,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,24135.0,16967.0,0.0,362025.0,0.0,5268480,5632200.0,5470770.0,0.1263482053397772,0.78125,0.1263407590759075,0.041472,1053696.0,28161000.0,547077000.0,576291696.0,0.576291696
1080p,1920,1080,128,128,7,128,4096,50.0,os,run_0138c7f7e3c9,fc79596e18ca,0138c7f7e3c9,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16304.0,14727.0,0.0,244560.0,0.0,1935360,1412880.0,1201290.0,0.0534732124668975,1.5625,0.0534695817490493,0.041472,387072.0,7064400.0,120129000.0,127580472.0,0.127580472
1080p,1920,1080,128,128,3,128,1024,200.0,ws,run_015fca31f854,23aa2d818b88,015fca31f854,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,8765.0,7549.0,0.0,131475.0,0.0,967680,1075335.0,3668520.0,0.052159226387601,0.054931640625,0.0512895662368112,0.010368,193536.0,5376675.0,366852000.0,372422211.0,0.372422211
1080p,1920,1080,128,128,3,128,1024,200.0,ws,run_015fca31f854,23aa2d818b88,015fca31f854,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,8801.0,7549.0,0.0,132015.0,0.0,1935360,1182990.0,3776040.0,0.104318452775202,0.10986328125,0.1025791324736225,0.010368,387072.0,5914950.0,377604000.0,383906022.0,0.383906022
1080p,1920,1080,128,128,11,64,4096,50.0,ws,run_0165dd685c82,3057f405329a,0165dd685c82,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,33352.0,14715.0,0.0,500280.0,0.0,13009920,13226775.0,14094540.0,1.4390078151546042,1.47705078125,1.42669451556394,0.07036875,2601984.0,66133875.0,1409454000.0,1478189859.0,1.478189859
