resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_dram_accesses,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_mac_pj,energy_sram_pj,energy_dram_pj,energy_total_pj,energy_total_mj
720p,1280,720,128,128,5,128,1024,800.0,ws,run_14f956121776,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,10929.0,10621.0,0.0,109290.0,0.0,2560000,2662650.0,4870400.0,0.147114207701723,0.152587890625,0.1453623592892362,0.00241875,512000.0,13313250.0,487040000.0,500865250.0,0.50086525
720p,1280,720,128,128,5,128,1024,800.0,ws,run_14f956121776,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,10942.0,10621.0,0.0,109420.0,0.0,1843200,1126580.0,2588800.0,0.1059222295452405,0.10986328125,0.10466089868825,0.00241875,368640.0,5632900.0,258880000.0,264881540.0,0.26488154
1080p,1920,1080,128,128,3,16,1024,800.0,ws,run_158b24e400bd,46cfe3799994,158b24e400bd,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,7365.0,7213.0,0.0,110475.0,0.0,967680,1075335.0,1847520.0,3.4936919450991266,3.515625,3.485959330474478,0.2187,193536.0,5376675.0,184752000.0,190322211.0,0.190322211
1080p,1920,1080,128,128,3,16,1024,800.0,ws,run_158b24e400bd,46cfe3799994,158b24e400bd,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7374.0,7213.0,0.0,110610.0,0.0,1935360,1182990.0,1955040.0,6.987383890198253,7.03125,6.971918660948956,0.2187,387072.0,5914950.0,195504000.0,201806022.0,0.201806022
1080p,1920,1080,128,128,5,16,4096,800.0,os,run_15bc37010ffe,9ea8177a9e0c,15bc37010ffe,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,24871.0,24639.0,0.0,373065.0,0.0,2688000,3178560.0,2807520.0,2.8410243922237104,6.25,2.8409090909091166,0.3483,537600.0,15892800.0,280752000.0,297182400.0,0.2971824
1080p,1920,1080,128,128,5,16,4096,800.0,os,run_15bc37010ffe,9ea8177a9e0c,15bc37010ffe,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,17569.0,17471.0,0.0,263535.0,0.0,1935360,1518720.0,1199040.0,2.884780493389045,12.5,2.884615384615372,0.3483,387072.0,7593600.0,119904000.0,127884672.0,0.127884672
720p,1280,720,128,128,5,64,4096,800.0,ws,run_15d3cd2dcf18,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,11261.0,10429.0,0.0,112610.0,0.0,2560000,2662650.0,6678400.0,0.5992904401188992,0.6103515625,0.5956351853616697,0.009675,512000.0,13313250.0,667840000.0,681665250.0,0.68166525
720p,1280,720,128,128,5,64,4096,800.0,ws,run_15d3cd2dcf18,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,11274.0,10429.0,0.0,112740.0,0.0,1843200,1126580.0,6772800.0,0.4314891168856074,0.439453125,0.4288573334604022,0.009675,368640.0,5632900.0,677280000.0,683281540.0,0.68328154
720p,1280,720,128,128,3,64,256,50.0,os,run_161c9ec2bc79,,,bottom_edge,128,80,10,gaussian_k3,gaussian,10240,1,9,92160,10660,10240,22981.0,21599.0,0.0,229810.0,0.0,921600,1243200.0,1286400.0,0.1041714894208065,1.5625,0.1041666666666664,0.018432,184320.0,6216000.0,128640000.0,135040320.0,0.13504032
720p,1280,720,128,128,3,64,256,50.0,os,run_161c9ec2bc79,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,23186.0,21599.0,0.0,231860.0,0.0,1843200,1360000.0,1388800.0,0.208342978841613,3.125,0.2083333333333329,0.018432,368640.0,6800000.0,138880000.0,146048640.0,0.14604864
720p,1280,720,128,128,11,8,1024,200.0,ws,run_165632710968,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,166191.0,164191.0,0.0,1661910.0,0.0,12390400,14030010.0,15820400.0,11.79114567789952,11.81640625,11.78303632291362,2.0016000000000003,2478080.0,70150050.0,1582040000.0,1654668130.0,1.65466813
720p,1280,720,128,128,11,8,1024,200.0,ws,run_165632710968,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,21547.0,20523.0,0.0,215470.0,0.0,1843200,1331380.0,2051600.0,14.033036105832482,14.0625,14.022787028921998,2.0016000000000003,368640.0,6656900.0,205160000.0,212185540.0,0.21218554
720p,1280,720,128,128,5,16,1024,50.0,os,run_165ea540f44d,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,40124.0,35199.0,0.0,401240.0,0.0,2560000,3027200.0,4827400.0,2.840989800846615,6.25,2.8409090909091117,0.1548,512000.0,15136000.0,482740000.0,498388000.0,0.498388
720p,1280,720,128,128,5,16,1024,50.0,os,run_165ea540f44d,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,27212.0,24959.0,0.0,272120.0,0.0,1843200,1446400.0,1128300.0,2.8847309587723866,12.5,2.8846153846153593,0.1548,368640.0,7232000.0,112830000.0,120430640.0,0.12043064
720p,1280,720,128,128,3,16,4096,50.0,os,run_16f45b56450b,,,bottom_edge,128,80,10,gaussian_k3,gaussian,10240,1,9,92160,10660,10240,27007.0,24959.0,0.0,270070.0,0.0,921600,1286400.0,1025900.0,1.4423654793861933,6.25,1.4423076923076796,0.09720000000000001,184320.0,6432000.0,102590000.0,109206320.0,0.10920632
720p,1280,720,128,128,3,16,4096,50.0,os,run_16f45b56450b,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,27212.0,24959.0,0.0,272120.0,0.0,1843200,1446400.0,1128300.0,2.8847309587723866,12.5,2.8846153846153593,0.09720000000000001,368640.0,7232000.0,112830000.0,120430640.0,0.12043064
720p,1280,720,128,128,11,32,4096,200.0,os,run_1769c34e2dec,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,63329.0,58559.0,0.0,633290.0,0.0,12390400,13084800.0,19018400.0,2.0662921156440515,3.125,2.0662568306010884,0.12510000000000002,2478080.0,65424000.0,1901840000.0,1969742080.0,1.96974208
720p,1280,720,128,128,11,32,4096,200.0,os,run_1769c34e2dec,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,23282.0,22719.0,0.0,232820.0,0.0,1843200,1388800.0,1130800.0,0.7922883929750429,6.25,0.7922535211267554,0.12510000000000002,368640.0,6944000.0,113080000.0,120392640.0,0.12039264
720p,1280,720,128,128,5,16,1024,200.0,ws,run_17b620b64488,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,21854.0,20571.0,0.0,218540.0,0.0,2560000,2765050.0,4932800.0,4.861212386369161,4.8828125,4.853897679836909,0.1548,512000.0,13825250.0,493280000.0,507617250.0,0.50761725
720p,1280,720,128,128,5,16,1024,200.0,ws,run_17b620b64488,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,11207.0,10285.0,0.0,112070.0,0.0,1843200,1126580.0,1846800.0,7.0004861448711715,7.03125,6.989612658965148,0.1548,368640.0,5632900.0,184680000.0,190681540.0,0.19068154
720p,1280,720,128,128,5,64,256,200.0,os,run_180fc45175ea,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,24505.0,24159.0,0.0,245050.0,0.0,2560000,2907200.0,18408400.0,0.2587027608758641,1.5625,0.2586920529801319,0.009675,512000.0,14536000.0,1840840000.0,1855888000.0,1.855888
720p,1280,720,128,128,5,64,256,200.0,os,run_180fc45175ea,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,21996.0,21599.0,0.0,219960.0,0.0,1843200,1360000.0,1390800.0,0.208342978841613,3.125,0.2083333333333329,0.009675,368640.0,6800000.0,139080000.0,146248640.0,0.14624864
1080p,1920,1080,128,128,3,64,4096,50.0,ws,run_18149f8da4e2,113e56c0fc32,18149f8da4e2,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,16676.0,7357.0,0.0,250140.0,0.0,967680,1075335.0,6998520.0,0.2140818268315889,0.2197265625,0.2122355477698423,0.041472,193536.0,5376675.0,699852000.0,705422211.0,0.705422211
1080p,1920,1080,128,128,3,64,4096,50.0,ws,run_18149f8da4e2,113e56c0fc32,18149f8da4e2,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16819.0,7357.0,0.0,252285.0,0.0,1935360,1182990.0,7106040.0,0.4281636536631779,0.439453125,0.4244710955396847,0.041472,387072.0,5914950.0,710604000.0,716906022.0,0.716906022
1080p,1920,1080,128,128,11,128,256,800.0,ws,run_18b8c88e11d6,33b33b5b307e,18b8c88e11d6,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,7631.0,7549.0,0.0,114465.0,0.0,13009920,13119255.0,13631520.0,0.7012518214333024,0.738525390625,0.6895597238504624,0.0175921875,2601984.0,65596275.0,1363152000.0,1431350259.0,1.431350259
1080p,1920,1080,128,128,11,128,256,800.0,ws,run_18b8c88e11d6,33b33b5b307e,18b8c88e11d6,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7640.0,7549.0,0.0,114600.0,0.0,1935360,1182990.0,2015040.0,0.104318452775202,0.10986328125,0.1025791324736225,0.0175921875,387072.0,5914950.0,201504000.0,207806022.0,0.207806022
1080p,1920,1080,128,128,5,128,256,200.0,os,run_18ba598b491d,101a86bd5147,18ba598b491d,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,15953.0,15623.0,0.0,239295.0,0.0,2688000,3031560.0,24935520.0,0.0700089611470268,0.78125,0.0700044802867383,0.010368,537600.0,15157800.0,2493552000.0,2509247400.0,2.5092474
1080p,1920,1080,128,128,5,128,256,200.0,os,run_18ba598b491d,101a86bd5147,18ba598b491d,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,15093.0,14727.0,0.0,226395.0,0.0,1935360,1412880.0,2003040.0,0.0534732124668975,1.5625,0.0534695817490493,0.010368,387072.0,7064400.0,200304000.0,207755472.0,0.207755472
1080p,1920,1080,128,128,3,32,256,200.0,ws,run_1920d9e4723e,34a3525acee7,1920d9e4723e,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,7591.0,7261.0,0.0,113865.0,0.0,967680,1075335.0,1883520.0,0.867649084148189,0.87890625,0.8638420403126285,0.054675,193536.0,5376675.0,188352000.0,193922211.0,0.193922211
1080p,1920,1080,128,128,3,32,256,200.0,ws,run_1920d9e4723e,34a3525acee7,1920d9e4723e,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7627.0,7261.0,0.0,114405.0,0.0,1935360,1182990.0,1991040.0,1.735298168296378,1.7578125,1.727684080625257,0.054675,387072.0,5914950.0,199104000.0,205406022.0,0.205406022
720p,1280,720,128,128,11,16,4096,800.0,ws,run_1940a5629373,,,full,128,128,50,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,132782.0,131439.0,0.0,6639100.0,0.0,99123200,105682850.0,148273600.0,5.891706418947193,5.908203125,5.886287625418061,0.5004000000000001,19824640.0,528414250.0,14827360000.0,15375598890.0,15.37559889
720p,1280,720,128,128,11,16,4096,800.0,ws,run_1940a5629373,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16797.0,16429.0,0.0,839850.0,0.0,14745600,9012100.0,14798400.0,7.011990991539351,7.03125,7.00516874429918,0.5004000000000001,2949120.0,45060500.0,1479840000.0,1527849620.0,1.52784962
1080p,1920,1080,128,128,11,16,4096,800.0,ws,run_1940a5629373,13e5718b9ec4,fa210a1c605e,full,128,128,120,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,132782.0,131439.0,0.0,15933840.0,0.0,237895680,253638840.0,355856640.0,5.891706418947193,5.908203125,5.886287625418061,1.1259,47579136.0,1268194200.0,35585664000.0,36901437336.0,36.901437336
1080p,1920,1080,128,128,11,16,4096,800.0,ws,run_1940a5629373,13e5718b9ec4,fa210a1c605e,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16797.0,16429.0,0.0,2015640.0,0.0,35389440,21629040.0,35516160.0,7.011990991539351,7.03125,7.00516874429918,1.1259,7077888.0,108145200.0,3551616000.0,3666839088.0,3.666839088
hires,2048,2048,128,128,11,16,4096,800.0,ws,run_1940a5629373,78853d092364,fa210a1c605e,full,128,128,256,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,132782.0,131439.0,0.0,33992192.0,0.0,507510784,541096192.0,759160832.0,5.891706418947193,5.908203125,5.886287625418061,2.277376,101502156.80000001,2705480960.0,75916083200.0,78723066316.8,78.7230663168
hires,2048,2048,128,128,11,16,4096,800.0,ws,run_1940a5629373,78853d092364,fa210a1c605e,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16797.0,16429.0,0.0,4300032.0,0.0,75497472,46141952.0,75767808.0,7.011990991539351,7.03125,7.00516874429918,2.277376,15099494.4,230709760.0,7576780800.0,7822590054.4,7.8225900544
720p,1280,720,128,128,3,8,256,800.0,ws,run_19456e06ed78,,,full,128,128,50,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,32925.0,32811.0,0.0,1646250.0,0.0,7372800,9011650.0,10558400.0,7.022035293041967,7.03125,7.018826539937854,0.38880000000000003,1474560.0,45058250.0,1055840000.0,1102372810.0,1.10237281
720p,1280,720,128,128,3,8,256,800.0,ws,run_19456e06ed78,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,32893.0,32811.0,0.0,1644650.0,0.0,14745600,10650500.0,12196800.0,14.044070586083937,14.0625,14.037653079875708,0.38880000000000003,2949120.0,53252500.0,1219680000.0,1275881620.0,1.27588162
1080p,1920,1080,128,128,3,8,256,800.0,ws,run_19456e06ed78,d0a181b846ac,d6a86eb37805,full,128,128,120,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,32925.0,32811.0,0.0,3951000.0,0.0,17694720,21627960.0,25340160.0,7.022035293041967,7.03125,7.018826539937854,0.8748,3538944.0,108139800.0,2534016000.0,2645694744.0,2.645694744
1080p,1920,1080,128,128,3,8,256,800.0,ws,run_19456e06ed78,d0a181b846ac,d6a86eb37805,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,32893.0,32811.0,0.0,3947160.0,0.0,35389440,25561200.0,29272320.0,14.044070586083937,14.0625,14.037653079875708,0.8748,7077888.0,127806000.0,2927232000.0,3062115888.0,3.062115888
hires,2048,2048,128,128,3,8,256,800.0,ws,run_19456e06ed78,e0c46b04a54c,d6a86eb37805,full,128,128,256,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,32925.0,32811.0,0.0,8428800.0,0.0,37748736,46139648.0,54059008.0,7.022035293041967,7.03125,7.018826539937854,1.769472,7549747.2,230698240.0,5405900800.0,5644148787.2,5.6441487872
hires,2048,2048,128,128,3,8,256,800.0,ws,run_19456e06ed78,e0c46b04a54c,d6a86eb37805,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,32893.0,32811.0,0.0,8420608.0,0.0,75497472,54530560.0,62447616.0,14.044070586083937,14.0625,14.037653079875708,1.769472,15099494.4,272652800.0,6244761600.0,6532513894.4,6.532513894399999
1080p,1920,1080,128,128,11,8,1024,200.0,os,run_196b39f228a4,0b285347733a,196b39f228a4,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,122175.0,120959.0,0.0,1832625.0,0.0,13009920,14958720.0,14294520.0,11.20379632768128,12.5,11.20370370370375,4.5036,2601984.0,74793600.0,1429452000.0,1506847584.0,1.506847584
1080p,1920,1080,128,128,11,8,1024,200.0,os,run_196b39f228a4,0b285347733a,196b39f228a4,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,21001.0,20607.0,0.0,315015.0,0.0,1935360,1639680.0,1187040.0,9.783083418255933,25.0,9.782608695652106,4.5036,387072.0,8198400.0,118704000.0,127289472.0,0.127289472
720p,1280,720,128,128,7,16,4096,800.0,os,run_19a22e2f14b7,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,81919.0,80895.0,0.0,4095950.0,0.0,40140800,45107200.0,41019200.0,3.8766301996415105,6.25,3.876582278481053,0.2412,8028160.0,225536000.0,4101920000.0,4335484160.0,4.33548416
720p,1280,720,128,128,7,16,4096,800.0,os,run_19a22e2f14b7,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,2008000.0,0.0,14745600,11571200.0,9078400.0,2.8846876173782396,12.5,2.884615384615348,0.2412,2949120.0,57856000.0,907840000.0,968645120.0,0.96864512
1080p,1920,1080,128,128,7,16,4096,800.0,os,run_19a22e2f14b7,aa7c267dcaf0,38110e6c57cf,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,81919.0,80895.0,0.0,9830280.0,0.0,96337920,108257280.0,98446080.0,3.8766301996415105,6.25,3.876582278481053,0.5427000000000001,19267584.0,541286400.0,9844608000.0,10405161984.0,10.405161984
1080p,1920,1080,128,128,7,16,4096,800.0,os,run_19a22e2f14b7,aa7c267dcaf0,38110e6c57cf,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,4819200.0,0.0,35389440,27770880.0,21788160.0,2.8846876173782396,12.5,2.884615384615348,0.5427000000000001,7077888.0,138854400.0,2178816000.0,2324748288.0,2.324748288
hires,2048,2048,128,128,7,16,4096,800.0,os,run_19a22e2f14b7,03089b244f31,38110e6c57cf,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,81919.0,80895.0,0.0,20971264.0,0.0,205520896,230948864.0,210018304.0,3.8766301996415105,6.25,3.876582278481053,1.097728,41104179.2,1154744320.0,21001830400.0,22197678899.2,22.1976788992
hires,2048,2048,128,128,7,16,4096,800.0,os,run_19a22e2f14b7,03089b244f31,38110e6c57cf,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,10280960.0,0.0,75497472,59244544.0,46481408.0,2.8846876173782396,12.5,2.884615384615348,1.097728,15099494.4,296222720.0,4648140800.0,4959463014.4,4.9594630144
720p,1280,720,128,128,11,128,4096,50.0,ws,run_1acdc8d062fb,,,full,128,128,50,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,58115.0,38915.0,22150.0,2905750.0,1107500.0,99123200,99948450.0,143141700.0,0.3109340871129384,0.738525390625,0.7162730124903806,0.018432,19824640.0,499742250.0,14314170000.0,14833736890.0,14.83373689
720p,1280,720,128,128,11,128,4096,50.0,ws,run_1acdc8d062fb,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36293.0,16765.0,0.0,1814650.0,0.0,14745600,9012100.0,48880900.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.018432,2949120.0,45060500.0,4888090000.0,4936099620.0,4.93609962
1080p,1920,1080,128,128,11,128,4096,50.0,ws,run_1acdc8d062fb,2da985b2be91,61f998d6913c,full,128,128,120,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,58115.0,38915.0,22150.0,6973800.0,2658000.0,237895680,239876280.0,343540080.0,0.3109340871129384,0.738525390625,0.7162730124903806,0.041472,47579136.0,1199381400.0,34354008000.0,35600968536.0,35.600968536
1080p,1920,1080,128,128,11,128,4096,50.0,ws,run_1acdc8d062fb,2da985b2be91,61f998d6913c,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36293.0,16765.0,0.0,4355160.0,0.0,35389440,21629040.0,117314160.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.041472,7077888.0,108145200.0,11731416000.0,11846639088.0,11.846639088
hires,2048,2048,128,128,11,128,4096,50.0,ws,run_1acdc8d062fb,8850a97e2baf,61f998d6913c,full,128,128,256,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,58115.0,38915.0,22150.0,14877440.0,5670400.0,507510784,511736064.0,732885504.0,0.3109340871129384,0.738525390625,0.7162730124903806,0.08388608,101502156.80000001,2558680320.0,73288550400.0,75948732876.8,75.94873287680001
hires,2048,2048,128,128,11,128,4096,50.0,ws,run_1acdc8d062fb,8850a97e2baf,61f998d6913c,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36293.0,16765.0,0.0,9291008.0,0.0,75497472,46141952.0,250270208.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.08388608,15099494.4,230709760.0,25027020800.0,25272830054.4,25.2728300544
1080p,1920,1080,128,128,3,8,4096,800.0,os,run_1adb1562e2a8,ee9c3b2b7ff8,1adb1562e2a8,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,20696.0,20607.0,0.0,310440.0,0.0,967680,1411200.0,1091520.0,4.891541709127966,12.5,4.891304347826053,0.8748,193536.0,7056000.0,109152000.0,116401536.0,0.116401536
1080p,1920,1080,128,128,3,8,4096,800.0,os,run_1adb1562e2a8,ee9c3b2b7ff8,1adb1562e2a8,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,20705.0,20607.0,0.0,310575.0,0.0,1935360,1639680.0,1199040.0,9.783083418255933,25.0,9.782608695652106,0.8748,387072.0,8198400.0,119904000.0,128489472.0,0.128489472
720p,1280,720,128,128,3,64,256,800.0,ws,run_1af6ddd06ed3,,,bottom_edge,128,80,10,gaussian_k3,gaussian,10240,1,9,92160,10660,10240,10515.0,10429.0,0.0,105150.0,0.0,921600,1024090.0,1294400.0,0.2157445584428037,0.2197265625,0.2144286667302011,0.0060750000000000005,184320.0,5120450.0,129440000.0,134744770.0,0.13474477
720p,1280,720,128,128,3,64,256,800.0,ws,run_1af6ddd06ed3,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,10528.0,10429.0,0.0,105280.0,0.0,1843200,1126580.0,1396800.0,0.4314891168856074,0.439453125,0.4288573334604022,0.0060750000000000005,368640.0,5632900.0,139680000.0,145681540.0,0.14568154
720p,1280,720,128,128,5,8,1024,200.0,os,run_1b29764cba45,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,81133.0,79871.0,0.0,4056650.0,0.0,20480000,25497600.0,24449200.0,8.01292083484619,12.5,8.012820512820443,0.6192,4096000.0,127488000.0,2444920000.0,2576504000.0,2.576504
720p,1280,720,128,128,5,8,1024,200.0,os,run_1b29764cba45,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,48004.0,47103.0,0.0,2400200.0,0.0,14745600,12492800.0,9028400.0,9.782816381122222,25.0,9.782608695652344,0.6192,2949120.0,62464000.0,902840000.0,968253120.0,0.96825312
1080p,1920,1080,128,128,5,8,1024,200.0,os,run_1b29764cba45,8d0f9fdba8d8,960584881042,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,81133.0,79871.0,0.0,9735960.0,0.0,49152000,61194240.0,58678080.0,8.01292083484619,12.5,8.012820512820443,1.3932,9830400.0,305971200.0,5867808000.0,6183609600.0,6.1836096
1080p,1920,1080,128,128,5,8,1024,200.0,os,run_1b29764cba45,8d0f9fdba8d8,960584881042,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,48004.0,47103.0,0.0,5760480.0,0.0,35389440,29982720.0,21668160.0,9.782816381122222,25.0,9.782608695652344,1.3932,7077888.0,149913600.0,2166816000.0,2323807488.0,2.323807488
hires,2048,2048,128,128,5,8,1024,200.0,os,run_1b29764cba45,35deac5a12f7,960584881042,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,81133.0,79871.0,0.0,20770048.0,0.0,104857600,130547712.0,125179904.0,8.01292083484619,12.5,8.012820512820443,2.818048,20971520.0,652738560.0,12517990400.0,13191700480.0,13.19170048
hires,2048,2048,128,128,5,8,1024,200.0,os,run_1b29764cba45,35deac5a12f7,960584881042,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,48004.0,47103.0,0.0,12289024.0,0.0,75497472,63963136.0,46225408.0,9.782816381122222,25.0,9.782608695652344,2.818048,15099494.4,319815680.0,4622540800.0,4957455974.4,4.957455974399999
720p,1280,720,128,128,7,8,256,50.0,ws,run_1b41fefed308,,,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,73266.0,71833.0,0.0,732660.0,0.0,5017600,5734890.0,6021800.0,10.914203778207789,10.9375,10.906612133605996,0.9648,1003520.0,28674450.0,602180000.0,631857970.0,0.63185797
720p,1280,720,128,128,7,8,256,50.0,ws,run_1b41fefed308,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,22520.0,20523.0,0.0,225200.0,0.0,1843200,1331380.0,1588600.0,14.033036105832482,14.0625,14.022787028921998,0.9648,368640.0,6656900.0,158860000.0,165885540.0,0.16588554
1080p,1920,1080,128,128,11,128,256,50.0,ws,run_1bd6fe926e02,7e4c3500a596,1bd6fe926e02,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,18560.0,17239.0,9690.0,278400.0,145350.0,13009920,13119255.0,13560270.0,0.3070798770230292,0.738525390625,0.6895597238504624,0.041472,2601984.0,65596275.0,1356027000.0,1424225259.0,1.424225259
1080p,1920,1080,128,128,11,128,256,50.0,ws,run_1bd6fe926e02,7e4c3500a596,1bd6fe926e02,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,9013.0,7549.0,0.0,135195.0,0.0,1935360,1182990.0,2000040.0,0.104318452775202,0.10986328125,0.1025791324736225,0.041472,387072.0,5914950.0,200004000.0,206306022.0,0.206306022
1080p,1920,1080,128,128,5,16,4096,800.0,ws,run_1beb87b4d0ba,66ce81ef869d,1beb87b4d0ba,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,14731.0,14427.0,0.0,220965.0,0.0,2688000,2903415.0,3671040.0,4.85201358563804,4.8828125,4.841610181214552,0.3483,537600.0,14517075.0,367104000.0,382158675.0,0.382158675
1080p,1920,1080,128,128,5,16,4096,800.0,ws,run_1beb87b4d0ba,66ce81ef869d,1beb87b4d0ba,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7374.0,7213.0,0.0,110610.0,0.0,1935360,1182990.0,1955040.0,6.987383890198253,7.03125,6.971918660948956,0.3483,387072.0,5914950.0,195504000.0,201806022.0,0.201806022
720p,1280,720,128,128,5,16,1024,800.0,ws,run_1bf0a4782de5,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,33195.0,32859.0,0.0,1659750.0,0.0,20480000,22119650.0,25358400.0,4.8692899966523635,4.8828125,4.86470051687443,0.1548,4096000.0,110598250.0,2535840000.0,2650534250.0,2.65053425
