resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,16,256,50.0,os,gaussian,5254680.0,9.70846548,10550865.0,19.644223439999998,49.80330996558102,49.4214775638899
1080p,1920,1080,128,128,3,16,256,50.0,os,sobel,5296185.0,9.93575796,10550865.0,19.644223439999998,50.19669003441898,50.578522436110106
1080p,1920,1080,128,128,3,16,256,50.0,ws,gaussian,2280090.0,2.6139035550000003,4601685.0,5.449273665,49.549023890161976,47.96792592357353
1080p,1920,1080,128,128,3,16,256,50.0,ws,sobel,2321595.0,2.83537011,4601685.0,5.449273665,50.45097610983803,52.03207407642648
1080p,1920,1080,128,128,3,16,256,200.0,os,gaussian,5104335.0,9.72504048,10219050.0,19.67737344,49.949212500183485,49.422452186789414
1080p,1920,1080,128,128,3,16,256,200.0,os,sobel,5114715.0,9.95233296,10219050.0,19.67737344,50.050787499816515,50.57754781321058
1080p,1920,1080,128,128,3,16,256,200.0,ws,gaussian,2129745.0,2.6184785550000003,4269870.0,5.458423665,49.87845063198645,47.971332305881035
1080p,1920,1080,128,128,3,16,256,200.0,ws,sobel,2140125.0,2.83994511,4269870.0,5.458423665,50.121549368013554,52.02866769411898
1080p,1920,1080,128,128,3,16,256,800.0,os,gaussian,5066775.0,9.76494048,10136085.0,19.75717344,49.98749517195248,49.42478492510516
1080p,1920,1080,128,128,3,16,256,800.0,os,sobel,5069310.0,9.992232959999999,10136085.0,19.75717344,50.01250482804751,50.57521507489484
1080p,1920,1080,128,128,3,16,256,800.0,ws,gaussian,2092185.0,2.634378555,4186905.0,5.490223665,49.969727041812504,47.98308257993347
1080p,1920,1080,128,128,3,16,256,800.0,ws,sobel,2094720.0,2.8558451099999997,4186905.0,5.490223665,50.030272958187496,52.01691742006652
1080p,1920,1080,128,128,3,16,1024,50.0,os,gaussian,5469015.0,2.21019048,10979535.0,4.64767344,49.8109892632065,47.55477140407696
1080p,1920,1080,128,128,3,16,1024,50.0,os,sobel,5510520.0,2.43748296,10979535.0,4.64767344,50.18901073679349,52.44522859592304
1080p,1920,1080,128,128,3,16,1024,50.0,ws,gaussian,2721990.0,3.3214535549999997,5485485.0,6.864373665,49.62168340629862,48.386840767940626
1080p,1920,1080,128,128,3,16,1024,50.0,ws,sobel,2763495.0,3.54292011,5485485.0,6.864373665,50.37831659370138,51.61315923205938
