resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,5,32,4096,50.0,ws,sobel,3496185.0,11.409796854000001,accelergy,6950865.0,22.657480929000002,50.29855996340024,50.35774669635163
1080p,1920,1080,128,128,5,32,4096,200.0,os,gaussian,5906910.0,8.9537832,accelergy,10621605.0,12.764135904,55.61221679774384,70.14797764096261
1080p,1920,1080,128,128,5,32,4096,200.0,os,sobel,4714695.0,3.810352704,accelergy,10621605.0,12.764135904,44.38778320225615,29.852022359037395
1080p,1920,1080,128,128,5,32,4096,200.0,ws,gaussian,2428245.0,11.249604075,accelergy,4866870.0,22.663480929000002,49.89336061986451,49.63758263897185
1080p,1920,1080,128,128,5,32,4096,200.0,ws,sobel,2438625.0,11.413876854000002,accelergy,4866870.0,22.663480929000002,50.10663938013549,50.36241736102816
1080p,1920,1080,128,128,5,32,4096,800.0,os,gaussian,5704785.0,8.9537832,accelergy,10333920.0,12.780935904,55.20446258534999,70.0557710894847
1080p,1920,1080,128,128,5,32,4096,800.0,os,sobel,4629135.0,3.827152704,accelergy,10333920.0,12.780935904,44.795537414650006,29.944228910515314
1080p,1920,1080,128,128,5,32,4096,800.0,ws,gaussian,2171700.0,11.257764075,accelergy,4345935.0,22.688440929000002,49.97083481460261,49.61894080879972
1080p,1920,1080,128,128,5,32,4096,800.0,ws,sobel,2174235.0,11.430676854,accelergy,4345935.0,22.688440929000002,50.02916518539738,50.38105919120027
1080p,1920,1080,128,128,5,64,256,50.0,os,gaussian,148173960.0,1183.1490132000001,accelergy,152789745.0,1198.955969904,96.97899554711607,98.6816065726529
1080p,1920,1080,128,128,5,64,256,50.0,os,sobel,4615785.0,15.806956704000001,accelergy,152789745.0,1198.955969904,3.0210044528839286,1.3183934273470992
1080p,1920,1080,128,128,5,64,256,50.0,ws,gaussian,2299530.0,9.129444075,accelergy,4640565.0,13.603960929,49.552802298858005,67.10872019294375
1080p,1920,1080,128,128,5,64,256,50.0,ws,sobel,2341035.0,4.474516853999999,accelergy,4640565.0,13.603960929,50.447197701142,32.89127980705625
1080p,1920,1080,128,128,5,64,256,200.0,os,gaussian,37405335.0,1185.1566131999998,accelergy,41839650.0,1200.9890099039999,89.4016441342124,98.6817201012301
1080p,1920,1080,128,128,5,64,256,200.0,os,sobel,4434315.0,15.832396704,accelergy,41839650.0,1200.9890099039999,10.598355865787596,1.3182798987698938
1080p,1920,1080,128,128,5,64,256,200.0,ws,gaussian,2149185.0,9.143844075,accelergy,4308750.0,13.624600929,49.87954743255004,67.11274790836114
1080p,1920,1080,128,128,5,64,256,200.0,ws,sobel,2159565.0,4.480756854,accelergy,4308750.0,13.624600929,50.12045256744996,32.887252091638864
1080p,1920,1080,128,128,5,64,256,800.0,os,gaussian,9698055.0,1189.1718132,accelergy,14086965.0,1205.0594099040002,68.84417615859768,98.68159224570798
1080p,1920,1080,128,128,5,64,256,800.0,os,sobel,4388910.0,15.887596704,accelergy,14086965.0,1205.0594099040002,31.15582384140232,1.3184077542920203
1080p,1920,1080,128,128,5,64,256,800.0,ws,gaussian,2111625.0,9.172644075000001,accelergy,4225785.0,13.670200929,49.970005572929054,67.09955561473225
1080p,1920,1080,128,128,5,64,256,800.0,ws,sobel,2114160.0,4.497556854,accelergy,4225785.0,13.670200929,50.029994427070946,32.90044438526775
1080p,1920,1080,128,128,5,64,1024,50.0,os,gaussian,5553930.0,10.1670132,accelergy,10384050.0,13.976729903999999,53.48520086093577,72.74243166915821
1080p,1920,1080,128,128,5,64,1024,50.0,os,sobel,4830120.0,3.8097167039999995,accelergy,10384050.0,13.976729903999999,46.51479913906424,27.257568330841803
1080p,1920,1080,128,128,5,64,1024,50.0,ws,gaussian,2777835.0,10.278684075000001,accelergy,5597175.0,16.176520929,49.62923260394753,63.54075836277738
1080p,1920,1080,128,128,5,64,1024,50.0,ws,sobel,2819340.0,5.8978368539999995,accelergy,5597175.0,16.176520929,50.37076739605247,36.459241637222625
1080p,1920,1080,128,128,5,64,1024,200.0,os,gaussian,5057670.0,10.1727732,accelergy,9545565.0,13.984529904,52.9845011793435,72.74304728033995
1080p,1920,1080,128,128,5,64,1024,200.0,os,sobel,4487895.0,3.811756704,accelergy,9545565.0,13.984529904,47.015498820656504,27.256952719660042
1080p,1920,1080,128,128,5,64,1024,200.0,ws,gaussian,2268795.0,10.284804075,accelergy,4547970.0,16.185880929,49.88588315226354,63.5418246316941
1080p,1920,1080,128,128,5,64,1024,200.0,ws,sobel,2279175.0,5.901076853999999,accelergy,4547970.0,16.185880929,50.11411684773647,36.458175368305895
