resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
1080p,1920,1080,128,128,3,128,1024,200.0,ws,run_015fca31f854,23aa2d818b88,015fca31f854,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,8765.0,7549.0,0.0,131475.0,0.0,967680,1075335.0,967680.0,135.0,107520.0,3668520.0,3543000.0,18000.0,107520.0,0.052159226387601,0.054931640625,0.0512895662368112,0.010368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,222566.40000000002,4838400.0,675.0,537600.0,5376675.0,566880000.0,2880000.0,17203200.0,586963200.0,592562441.4,0.5925624414
1080p,1920,1080,128,128,3,128,1024,200.0,ws,run_015fca31f854,23aa2d818b88,015fca31f854,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,8801.0,7549.0,0.0,132015.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,3776040.0,3543000.0,18000.0,215040.0,0.104318452775202,0.10986328125,0.1025791324736225,0.010368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,1350.0,1075200.0,5914950.0,566880000.0,2880000.0,34406400.0,604166400.0,610526482.8,0.6105264828
1080p,1920,1080,128,128,11,64,4096,50.0,ws,run_0165dd685c82,3057f405329a,0165dd685c82,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,33352.0,14715.0,0.0,500280.0,0.0,13009920,13226775.0,13009920.0,1815.0,215040.0,14094540.0,13763250.0,116250.0,215040.0,1.4390078151546042,1.47705078125,1.42669451556394,0.07036875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,2992281.6,65049600.0,9075.0,1075200.0,66133875.0,2202120000.0,18600000.0,34406400.0,2255126400.0,2324252556.6,2.3242525566
1080p,1920,1080,128,128,11,64,4096,50.0,ws,run_0165dd685c82,3057f405329a,0165dd685c82,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16819.0,7357.0,0.0,252285.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,7106040.0,6882000.0,9000.0,215040.0,0.4281636536631779,0.439453125,0.4244710955396847,0.07036875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,1350.0,1075200.0,5914950.0,1101120000.0,1440000.0,34406400.0,1136966400.0,1143326482.8,1.1433264828
720p,1280,720,128,128,7,32,1024,50.0,os,run_01b0e942bd61,,,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,40444.0,35519.0,0.0,404440.0,0.0,5017600,5481600.0,5017600.0,156800.0,307200.0,11920900.0,11802500.0,16000.0,102400.0,1.3795433429995214,3.125,1.3795045045045031,0.0603,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1154048.0,25088000.0,784000.0,1536000.0,27408000.0,1888400000.0,2560000.0,16384000.0,1907344000.0,1935906048.0,1.935906048
720p,1280,720,128,128,7,32,1024,50.0,os,run_01b0e942bd61,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,24972.0,22719.0,0.0,249720.0,0.0,1843200,1388800.0,921600.0,57600.0,409600.0,1129800.0,922000.0,3000.0,204800.0,0.7922883929750429,6.25,0.7922535211267554,0.0603,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,423936.0,4608000.0,288000.0,2048000.0,6944000.0,147520000.0,480000.0,32768000.0,180768000.0,188135936.0,0.188135936
1080p,1920,1080,128,128,7,16,1024,800.0,os,run_022de474811a,e1058136518f,022de474811a,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,35695.0,35391.0,0.0,535425.0,0.0,5268480,5920320.0,5268480.0,329280.0,322560.0,7223520.0,7104000.0,12000.0,107520.0,3.8766918143030713,6.25,3.876582278481034,0.5427000000000001,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1211750.4000000001,26342400.0,1646400.0,1612800.0,29601600.0,1136640000.0,1920000.0,17203200.0,1155763200.0,1186576550.4,1.1865765504
1080p,1920,1080,128,128,7,16,1024,800.0,os,run_022de474811a,e1058136518f,022de474811a,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,17569.0,17471.0,0.0,263535.0,0.0,1935360,1518720.0,967680.0,120960.0,430080.0,1199040.0,972000.0,12000.0,215040.0,2.884780493389045,12.5,2.884615384615372,0.5427000000000001,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,604800.0,2150400.0,7593600.0,155520000.0,1920000.0,34406400.0,191846400.0,199885132.8,0.1998851328
1080p,1920,1080,128,128,3,8,256,50.0,ws,run_023602af47cb,64c7e659e0f4,023602af47cb,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,15843.0,14379.0,0.0,237645.0,0.0,967680,1182855.0,967680.0,135.0,215040.0,1983540.0,1767000.0,1500.0,215040.0,7.01022324222825,7.03125,7.002917882451021,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,222566.40000000002,4838400.0,675.0,1075200.0,5914275.0,282720000.0,240000.0,34406400.0,317366400.0,323503241.4,0.3235032414
1080p,1920,1080,128,128,3,8,256,50.0,ws,run_023602af47cb,64c7e659e0f4,023602af47cb,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16130.0,14379.0,0.0,241950.0,0.0,1935360,1398030.0,967680.0,270.0,430080.0,2198580.0,1767000.0,1500.0,430080.0,14.0204464844565,14.0625,14.005835764902042,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,1350.0,2150400.0,6990150.0,282720000.0,240000.0,68812800.0,351772800.0,359208082.8,0.3592080828
