resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,sobel_3x3,sobel,accelerator.filter_sram,read,589824.0
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,16777216.0
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,37888000.0
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,sobel_3x3,sobel,accelerator.filter_dram,read,409600.0
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,sobel_3x3,sobel,accelerator.ofmap_dram,write,8388608.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,gaussian_k5,gaussian,accelerator.mac_array,mac,2560000.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,gaussian_k5,gaussian,accelerator.ifmap_sram,read,2560000.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,gaussian_k5,gaussian,accelerator.filter_sram,read,20000.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,gaussian_k5,gaussian,accelerator.ofmap_sram,write,307200.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,gaussian_k5,gaussian,accelerator.ifmap_dram,read,2560000.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,gaussian_k5,gaussian,accelerator.filter_dram,read,32000.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,gaussian_k5,gaussian,accelerator.ofmap_dram,write,102400.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,sobel_3x3,sobel,accelerator.mac_array,mac,1843200.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,sobel_3x3,sobel,accelerator.ifmap_sram,read,921600.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,sobel_3x3,sobel,accelerator.filter_sram,read,14400.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,sobel_3x3,sobel,accelerator.ofmap_sram,write,409600.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,sobel_3x3,sobel,accelerator.ifmap_dram,read,928000.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,sobel_3x3,sobel,accelerator.filter_dram,read,16000.0
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,sobel_3x3,sobel,accelerator.ofmap_dram,write,204800.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,accelerator.mac_array,mac,967680.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,accelerator.ifmap_sram,read,967680.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,accelerator.filter_sram,read,135.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,accelerator.ofmap_sram,write,107520.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,accelerator.ifmap_dram,read,3441000.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,accelerator.filter_dram,read,4500.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,accelerator.ofmap_dram,write,107520.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,accelerator.mac_array,mac,1935360.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,accelerator.ifmap_sram,read,967680.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,accelerator.filter_sram,read,270.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,accelerator.ofmap_sram,write,215040.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,accelerator.ifmap_dram,read,3441000.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,accelerator.filter_dram,read,4500.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,accelerator.ofmap_dram,write,215040.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,gaussian_k11,gaussian,accelerator.mac_array,mac,99123200.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,gaussian_k11,gaussian,accelerator.ifmap_sram,read,99123200.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,gaussian_k11,gaussian,accelerator.filter_sram,read,3097600.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,gaussian_k11,gaussian,accelerator.ofmap_sram,write,2457600.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,gaussian_k11,gaussian,accelerator.ifmap_dram,read,141570000.0
