resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,5,128,4096,200.0,is,12808605.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76822800.0,70521000.0,81000.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70521000.0,81000.0,6220800.0,76822800.0,779125200.0,0.010368,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.808605,16384,209856184320.0,0.0,0.7791252,9.979506932346,0.023373756,33,True,0.02360985454545455
1080p,1920,1080,128,128,5,128,2048,100.0,is,13192230.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76797300.0,70509000.0,67500.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70509000.0,67500.0,6220800.0,76797300.0,779099700.0,0.020736,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.192229999999999,16384,216141496320.0,0.0,0.7790997,10.278062435330998,0.023372991,33,True,0.02360908181818182
1080p,1920,1080,128,128,5,128,2048,50.0,is,13959570.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76789800.0,70508250.0,60750.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70508250.0,60750.0,6220800.0,76789800.0,779092200.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.95957,16384,228713594880.0,0.0,0.7790922,10.875792102354,0.023372766,33,True,0.023608854545454548
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,89164800.0,564019200.0,46440.0,43545600.0,607611240.0,76368000.0,216000.0,6220800.0,82804800.0,779580840.0,0.087075,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.199865,1024,4300661760.0,0.0,0.77958084,3.2741342845866,0.0233874252,100,True,0.0077958084
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,89164800.0,564019200.0,46440.0,43545600.0,607611240.0,76110000.0,162000.0,6220800.0,82492800.0,779268840.0,0.087075,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.28283,1024,4385617920.0,0.0,0.77926884,3.3374759660171995,0.0233780652,100,True,0.0077926884
1080p,1920,1080,128,128,5,32,256,100.0,ws,4393350.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,89164800.0,564019200.0,46440.0,43545600.0,607611240.0,75981000.0,148500.0,6220800.0,82350300.0,779126340.0,0.087075,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.39335,1024,4498790400.0,0.0,0.77912634,3.422974705839,0.0233737902,100,True,0.0077912634
1080p,1920,1080,128,128,5,128,4096,200.0,is,12808605.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76822800.0,70521000.0,81000.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70521000.0,81000.0,6220800.0,76822800.0,779125200.0,0.010368,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.808605,16384,209856184320.0,0.0,0.7791252,9.979506932346,0.023373756,100,True,0.007791252
1080p,1920,1080,128,128,5,128,2048,100.0,is,13192230.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76797300.0,70509000.0,67500.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70509000.0,67500.0,6220800.0,76797300.0,779099700.0,0.020736,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.192229999999999,16384,216141496320.0,0.0,0.7790997,10.278062435330998,0.023372991,100,True,0.007790997
1080p,1920,1080,128,128,5,128,2048,50.0,is,13959570.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76789800.0,70508250.0,60750.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70508250.0,60750.0,6220800.0,76789800.0,779092200.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.95957,16384,228713594880.0,0.0,0.7790922,10.875792102354,0.023372766,100,True,0.007790922
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,89164800.0,564019200.0,46440.0,43545600.0,607611240.0,76368000.0,216000.0,6220800.0,82804800.0,779580840.0,0.087075,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.199865,1024,4300661760.0,0.0,0.77958084,3.2741342845866,0.0233874252,200,True,0.0038979042
