resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps
1080p,1920,1080,128,128,3,8,1024,200.0,is,24613350.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,49857600.0,37362000.0,54000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,37362000.0,54000.0,12441600.0,49857600.0,547521600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.61335,64,1575254400.0,0.0,0.5475216,13.476340773360002,0.016425648
1080p,1920,1080,128,128,3,8,1024,200.0,os,12140610.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43636800.0,37362000.0,54000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,37362000.0,54000.0,6220800.0,43636800.0,555816000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.140609999999999,64,776999040.0,0.0,0.555816,6.7479452877599995,0.01667448
1080p,1920,1080,128,128,3,8,1024,200.0,ws,8668680.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,72627600.0,60132000.0,54000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,60132000.0,54000.0,12441600.0,72627600.0,514333560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.66868,64,554795520.0,0.0,0.51433356,4.4585930449008,0.0154300068
1080p,1920,1080,128,128,3,8,1024,800.0,is,24426660.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,50121600.0,37464000.0,216000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,37464000.0,216000.0,12441600.0,50121600.0,547785600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.42666,64,1563306240.0,0.0,0.5477856,13.380572604095999,0.016433568
1080p,1920,1080,128,128,3,8,1024,800.0,os,11977335.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43900800.0,37464000.0,216000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,37464000.0,216000.0,6220800.0,43900800.0,556080000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,11.977335,64,766549440.0,0.0,0.55608,6.6603564468,0.0166824
1080p,1920,1080,128,128,3,8,1024,800.0,ws,8396670.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,72945600.0,60288000.0,216000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,60288000.0,216000.0,12441600.0,72945600.0,514651560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.39667,64,537386880.0,0.0,0.51465156,4.3213593143052,0.0154395468
1080p,1920,1080,128,128,3,8,4096,50.0,is,25359945.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,49791600.0,37336500.0,13500.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,37336500.0,13500.0,12441600.0,49791600.0,547455600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,25.359945,64,1623036480.0,0.0,0.5474556,13.883443905942,0.016423668
1080p,1920,1080,128,128,3,8,4096,50.0,os,12793935.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43584300.0,37336500.0,27000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,37336500.0,27000.0,6220800.0,43584300.0,555763500.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.793935,64,818811840.0,0.0,0.5557635,7.110402094372499,0.016672905
1080p,1920,1080,128,128,3,8,4096,50.0,ws,9881835.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,78825600.0,66357000.0,27000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,66357000.0,27000.0,12441600.0,78825600.0,520531560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,9.881835,64,632437440.0,0.0,0.52053156,5.1438069882126,0.0156159468
1080p,1920,1080,128,128,3,8,4096,200.0,is,24613350.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,49857600.0,37362000.0,54000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,37362000.0,54000.0,12441600.0,49857600.0,547521600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.61335,64,1575254400.0,0.0,0.5475216,13.476340773360002,0.016425648
