resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_dram,read,2000.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.psum_dram,write,1638400.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..63].mac,mac_random,1843200.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,230400.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,409600.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,922000.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,2000.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,409600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.PE[0..16383].mac,mac_random,921600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_glb,read,90.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_glb,update,102400.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_dram,read,1180000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_dram,read,12000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_dram,write,102400.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..16383].mac,mac_random,1843200.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,180.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,204800.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,1180000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,12000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,204800.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.PE[0..1023].mac,mac_random,967680.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_glb,read,967680.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_glb,read,30240.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_glb,update,107520.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_dram,read,1767000.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_dram,read,750.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_dram,write,107520.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..1023].mac,mac_random,1935360.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,967680.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,60480.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,215040.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,1767000.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,1500.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,215040.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,gaussian_k11,gaussian,systolic_array.PE[0..2303].mac,mac_random,237895680.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,gaussian_k11,gaussian,systolic_array.ifmap_glb,read,237895680.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,gaussian_k11,gaussian,systolic_array.weights_glb,read,14520.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,gaussian_k11,gaussian,systolic_array.psum_glb,update,5898240.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,gaussian_k11,gaussian,systolic_array.ifmap_dram,read,240312000.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,gaussian_k11,gaussian,systolic_array.weights_dram,read,702000.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,gaussian_k11,gaussian,systolic_array.psum_dram,write,5898240.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,sobel_3x3,sobel,systolic_array.PE[0..2303].mac,mac_random,35389440.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,sobel_3x3,sobel,systolic_array.ifmap_glb,read,17694720.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,sobel_3x3,sobel,systolic_array.weights_glb,read,2160.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,sobel_3x3,sobel,systolic_array.psum_glb,update,3932160.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,sobel_3x3,sobel,systolic_array.ifmap_dram,read,21204000.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,sobel_3x3,sobel,systolic_array.weights_dram,read,54000.0
1080p,1920,1080,128,128,11,48,256,50.0,ws,run_00605aad909b,057bc7fb0fe2,00605aad909b,full,sobel_3x3,sobel,systolic_array.psum_dram,write,3932160.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,gaussian_k3,gaussian,systolic_array.PE[0..16383].mac,mac_random,921600.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_glb,read,7200.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_glb,update,307200.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_dram,read,1180000.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_dram,read,12000.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_dram,write,102400.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..16383].mac,mac_random,1843200.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,14400.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,409600.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,1180000.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,12000.0
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,204800.0
