run_name,status,seconds,resolution,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,tile_class,stdout_tail,stderr_tail,max_rss_gb
run_39baf7c5002d,rss_limit,7.128,1080p,11,32,256,800.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.253
run_3ac3ce362e78,rss_limit,47.472,720p,11,16,256,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.803
run_3bbe85c39bae,completed,5.044,1080p,11,64,4096,50.0,is,bottom_edge,completed run_3bbe85c39bae,,1.361
run_415786f31914,completed,3.043,1080p,7,128,256,50.0,is,bottom_edge,completed run_415786f31914,,0.932
run_424f388382ed,rss_limit,72.701,720p,11,8,256,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.184
run_45213a459c6e,rss_limit,22.248,720p,11,32,1024,800.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.060
run_46da725165d8,completed,16.157,1080p,11,16,4096,800.0,is,bottom_edge,completed run_46da725165d8,,1.604
run_4792e788e260,completed,8.090,1080p,11,32,4096,200.0,is,bottom_edge,completed run_4792e788e260,,1.525
run_48141a07bb4e,completed,5.052,1080p,11,64,1024,800.0,is,bottom_edge,completed run_48141a07bb4e,,2.055
run_488b503565b5,rss_limit,4.109,1080p,11,128,256,200.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.522
run_499a806c0075,completed,9.089,720p,11,128,4096,50.0,is,full,completed run_499a806c0075,,2.020
run_4a73a70893c8,rss_limit,7.113,720p,11,128,1024,200.0,os,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.222
run_4e6090edfe2f,rss_limit,12.175,1080p,11,16,256,200.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.688
run_50c7829aefb5,completed,6.053,1080p,11,64,4096,800.0,is,bottom_edge,completed run_50c7829aefb5,,1.369
run_587570fb9faf,rss_limit,18.220,720p,11,32,256,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.198
run_59cfa27c7c7e,completed,25.235,1080p,11,8,4096,50.0,is,bottom_edge,completed run_59cfa27c7c7e,,1.619
run_5b2da5b69c68,rss_limit,4.095,1080p,7,32,256,50.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.501
run_5cdbeaed6c83,rss_limit,7.127,720p,11,64,256,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.281
run_5d944e2ef10e,completed,4.044,1080p,7,32,1024,200.0,is,bottom_edge,completed run_5d944e2ef10e,,0.768
