resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,energy_model,mac_pj,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,sram_ifmap_read_pj_per_action,sram_filter_read_pj_per_action,sram_ofmap_write_pj_per_action,dram_ifmap_read_pj_per_action,dram_filter_read_pj_per_action,dram_ofmap_write_pj_per_action,accelergy_architecture,accelergy_action_count,accelergy_output_dir,accelergy_ert,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,128,80,10,gaussian_k3,gaussian,10240,1,9,92160,10660,10240,21385.0,21039.0,0.0,213850.0,0.0,921600,1236000.0,921600.0,7200.0,307200.0,1294400.0,1180000.0,12000.0,102400.0,0.0267360615998859,0.78125,0.0267347908745246,0.004608,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs/ERT.yaml,921600.0,7372800.0,57600.0,2150400.0,9580800.0,1180000.0,12000.0,102400.0,1294400.0,11796800.0,0.0117968
720p,1280,720,128,128,3,128,256,200.0,os,run_007fcc31102b,d7e8fbfffe38,007fcc31102b,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,21436.0,21039.0,0.0,214360.0,0.0,1843200,1345600.0,921600.0,14400.0,409600.0,1396800.0,1180000.0,12000.0,204800.0,0.0534721231997718,1.5625,0.0534695817490493,0.004608,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs/ERT.yaml,1843200.0,7372800.0,115200.0,2867200.0,10355200.0,1180000.0,12000.0,204800.0,1396800.0,13595200.0,0.0135952
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,45363.0,40991.0,0.0,680445.0,0.0,13009920,13739040.0,13009920.0,406560.0,322560.0,13178520.0,13011000.0,60000.0,107520.0,2.0663072381742333,3.125,2.0662568306010884,0.281475,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs/ERT.yaml,13009920.0,104079360.0,3252480.0,2257920.0,109589760.0,13011000.0,60000.0,107520.0,13178520.0,135778200.0,0.1357782
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,1190040.0,969000.0,6000.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.281475,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs/ERT.yaml,1935360.0,7741440.0,483840.0,3010560.0,11235840.0,969000.0,6000.0,215040.0,1190040.0,14361240.0,0.01436124
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,83877.0,82287.0,0.0,838770.0,0.0,12390400,13210810.0,12390400.0,1210.0,819200.0,15011200.0,14172000.0,20000.0,819200.0,5.8818525404985,5.908203125,5.8732161926026585,0.5004000000000001,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/outputs/ERT.yaml,12390400.0,99123200.0,9680.0,5734400.0,104867280.0,14172000.0,20000.0,819200.0,15011200.0,132268880.0,0.13226888
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,11207.0,10285.0,0.0,112070.0,0.0,1843200,1126580.0,921600.0,180.0,204800.0,1846800.0,1640000.0,2000.0,204800.0,7.0004861448711715,7.03125,6.989612658965148,0.5004000000000001,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_16_sram_1024_word_1/outputs/ERT.yaml,1843200.0,7372800.0,1440.0,1433600.0,8807840.0,1640000.0,2000.0,204800.0,1846800.0,12497840.0,0.01249784
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,26655.0,24863.0,0.0,399825.0,0.0,5268480,5755680.0,5268480.0,164640.0,322560.0,5402520.0,5271000.0,24000.0,107520.0,1.379559988738286,3.125,1.3795045045045031,0.13567500000000002,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs/ERT.yaml,5268480.0,42147840.0,1317120.0,2257920.0,45722880.0,5271000.0,24000.0,107520.0,5402520.0,56393880.0,0.05639388
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,1190040.0,969000.0,6000.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.13567500000000002,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs/ERT.yaml,1935360.0,7741440.0,483840.0,3010560.0,11235840.0,969000.0,6000.0,215040.0,1190040.0,14361240.0,0.01436124
720p,1280,720,128,128,7,64,1024,800.0,ws,run_011942d3f2ae,8965194491bf,011942d3f2ae,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16889.0,16573.0,0.0,844450.0,0.0,40140800,40962450.0,40140800.0,2450.0,819200.0,48339200.0,47360000.0,160000.0,819200.0,1.1826464731792674,1.1962890625,1.178097012682575,0.015075,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/outputs/ERT.yaml,40140800.0,321126400.0,19600.0,5734400.0,326880400.0,47360000.0,160000.0,819200.0,48339200.0,415360400.0,0.4153604
720p,1280,720,128,128,7,64,1024,800.0,ws,run_011942d3f2ae,8965194491bf,011942d3f2ae,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16909.0,16573.0,0.0,845450.0,0.0,14745600,9012100.0,7372800.0,900.0,1638400.0,13518400.0,11840000.0,40000.0,1638400.0,0.4344415615760574,0.439453125,0.4327703311895173,0.015075,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_64_sram_1024_word_1/outputs/ERT.yaml,14745600.0,58982400.0,7200.0,11468800.0,70458400.0,11840000.0,40000.0,1638400.0,13518400.0,98722400.0,0.0987224
