resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,269568000.0,18765.0,6220800.0,284720550.0,276535500.0,1964250.0,6220800.0,288230400.0,2156544000.0,150120.0,43545600.0,2200239720.0,276535500.0,1964250.0,6220800.0,284720550.0,2773190670.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,7.616714999999999,16384,124792258560.0,38.39332310582712,2.77319067,21.122602974049048,0.0831957201,200,True,0.01386595335
720p,1280,720,128,128,3,128,1024,50.0,is,5909390.0,0.0,24883200,19548000.0,16588800.0,194400.0,2764800.0,19385800.0,16594000.0,27000.0,2764800.0,24883200.0,132710400.0,1555200.0,19353600.0,153619200.0,16594000.0,27000.0,2764800.0,19385800.0,197888200.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,5.909389999999999,16384,96819445760.0,0.0,0.1978882,1.1693985501979998,0.005936646,33,True,0.005996612121212122
720p,1280,720,128,128,3,128,1024,50.0,is,5909390.0,0.0,24883200,19548000.0,16588800.0,194400.0,2764800.0,19385800.0,16594000.0,27000.0,2764800.0,24883200.0,132710400.0,1555200.0,19353600.0,153619200.0,16594000.0,27000.0,2764800.0,19385800.0,197888200.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,5.909389999999999,16384,96819445760.0,0.0,0.1978882,1.1693985501979998,0.005936646,100,True,0.001978882
720p,1280,720,128,128,3,128,1024,50.0,is,5909390.0,0.0,24883200,19548000.0,16588800.0,194400.0,2764800.0,19385800.0,16594000.0,27000.0,2764800.0,24883200.0,132710400.0,1555200.0,19353600.0,153619200.0,16594000.0,27000.0,2764800.0,19385800.0,197888200.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,5.909389999999999,16384,96819445760.0,0.0,0.1978882,1.1693985501979998,0.005936646,200,True,0.000989441
720p,1280,720,128,128,5,32,256,50.0,ws,2050950.0,0.0,39628800,34101780.0,31334400.0,2580.0,2764800.0,36403800.0,33573000.0,66000.0,2764800.0,39628800.0,250675200.0,20640.0,19353600.0,270049440.0,33573000.0,66000.0,2764800.0,36403800.0,346082040.0,0.0387,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,2.0509500000000003,1024,2100172800.0,0.0,0.34608204,0.7097969599380001,0.0103824612,33,True,0.010487334545454545
720p,1280,720,128,128,5,32,256,50.0,ws,2050950.0,0.0,39628800,34101780.0,31334400.0,2580.0,2764800.0,36403800.0,33573000.0,66000.0,2764800.0,39628800.0,250675200.0,20640.0,19353600.0,270049440.0,33573000.0,66000.0,2764800.0,36403800.0,346082040.0,0.0387,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,2.0509500000000003,1024,2100172800.0,0.0,0.34608204,0.7097969599380001,0.0103824612,100,True,0.0034608204
720p,1280,720,128,128,5,32,256,50.0,ws,2050950.0,0.0,39628800,34101780.0,31334400.0,2580.0,2764800.0,36403800.0,33573000.0,66000.0,2764800.0,39628800.0,250675200.0,20640.0,19353600.0,270049440.0,33573000.0,66000.0,2764800.0,36403800.0,346082040.0,0.0387,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,2.0509500000000003,1024,2100172800.0,0.0,0.34608204,0.7097969599380001,0.0103824612,200,True,0.0017304102
720p,1280,720,128,128,7,64,256,50.0,ws,2062470.0,0.0,61747200,56221620.0,53452800.0,4020.0,2764800.0,59533800.0,56544000.0,225000.0,2764800.0,61747200.0,427622400.0,32160.0,19353600.0,447008160.0,56544000.0,225000.0,2764800.0,59533800.0,568289160.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,2.06247,4096,8447877120.0,0.0,0.56828916,1.1720793438251997,0.0170486748,33,True,0.017220883636363635
720p,1280,720,128,128,7,64,256,50.0,ws,2062470.0,0.0,61747200,56221620.0,53452800.0,4020.0,2764800.0,59533800.0,56544000.0,225000.0,2764800.0,61747200.0,427622400.0,32160.0,19353600.0,447008160.0,56544000.0,225000.0,2764800.0,59533800.0,568289160.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,2.06247,4096,8447877120.0,0.0,0.56828916,1.1720793438251997,0.0170486748,100,True,0.0056828916
720p,1280,720,128,128,7,64,256,50.0,ws,2062470.0,0.0,61747200,56221620.0,53452800.0,4020.0,2764800.0,59533800.0,56544000.0,225000.0,2764800.0,61747200.0,427622400.0,32160.0,19353600.0,447008160.0,56544000.0,225000.0,2764800.0,59533800.0,568289160.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,2.06247,4096,8447877120.0,0.0,0.56828916,1.1720793438251997,0.0170486748,200,True,0.0028414458
720p,1280,720,128,128,11,128,256,50.0,ws,3391650.0,1306140.0,128102400,122581140.0,119808000.0,8340.0,2764800.0,126738800.0,123101000.0,873000.0,2764800.0,128102400.0,958464000.0,66720.0,19353600.0,977884320.0,123101000.0,873000.0,2764800.0,126738800.0,1232725520.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,3.39165,16384,55568793600.0,38.51045951085755,1.23272552,4.180973509908,0.0369817656,33,True,0.03735531878787879
720p,1280,720,128,128,11,128,256,50.0,ws,3391650.0,1306140.0,128102400,122581140.0,119808000.0,8340.0,2764800.0,126738800.0,123101000.0,873000.0,2764800.0,128102400.0,958464000.0,66720.0,19353600.0,977884320.0,123101000.0,873000.0,2764800.0,126738800.0,1232725520.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,3.39165,16384,55568793600.0,38.51045951085755,1.23272552,4.180973509908,0.0369817656,100,True,0.0123272552
720p,1280,720,128,128,11,128,256,50.0,ws,3391650.0,1306140.0,128102400,122581140.0,119808000.0,8340.0,2764800.0,126738800.0,123101000.0,873000.0,2764800.0,128102400.0,958464000.0,66720.0,19353600.0,977884320.0,123101000.0,873000.0,2764800.0,126738800.0,1232725520.0,0.018432,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,3.39165,16384,55568793600.0,38.51045951085755,1.23272552,4.180973509908,0.0369817656,200,True,0.0061636276
hires,2048,2048,128,128,3,128,1024,50.0,is,26894336.0,0.0,113246208,88965120.0,75497472.0,884736.0,12582912.0,88218112.0,75520000.0,115200.0,12582912.0,113246208.0,603979776.0,7077888.0,88080384.0,699138048.0,75520000.0,115200.0,12582912.0,88218112.0,900602368.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,26.894336000000003,16384,440636801024.0,0.0,0.900602368,24.221102687387653,0.02701807104,33,True,0.027290980848484848
hires,2048,2048,128,128,3,128,1024,50.0,is,26894336.0,0.0,113246208,88965120.0,75497472.0,884736.0,12582912.0,88218112.0,75520000.0,115200.0,12582912.0,113246208.0,603979776.0,7077888.0,88080384.0,699138048.0,75520000.0,115200.0,12582912.0,88218112.0,900602368.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,26.894336000000003,16384,440636801024.0,0.0,0.900602368,24.221102687387653,0.02701807104,100,True,0.00900602368
hires,2048,2048,128,128,3,128,1024,50.0,is,26894336.0,0.0,113246208,88965120.0,75497472.0,884736.0,12582912.0,88218112.0,75520000.0,115200.0,12582912.0,113246208.0,603979776.0,7077888.0,88080384.0,699138048.0,75520000.0,115200.0,12582912.0,88218112.0,900602368.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,26.894336000000003,16384,440636801024.0,0.0,0.900602368,24.221102687387653,0.02701807104,200,True,0.00450301184
hires,2048,2048,128,128,5,32,256,50.0,ws,9290752.0,0.0,180355072,155200256.0,142606336.0,11008.0,12582912.0,163648512.0,150784000.0,281600.0,12582912.0,180355072.0,1140850688.0,88064.0,88080384.0,1229019136.0,150784000.0,281600.0,12582912.0,163648512.0,1573022720.0,0.176128,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,9.290752,1024,9513730048.0,0.0,1.57302272,14.61456398188544,0.0471906816,33,True,0.04766735515151515
hires,2048,2048,128,128,5,32,256,50.0,ws,9290752.0,0.0,180355072,155200256.0,142606336.0,11008.0,12582912.0,163648512.0,150784000.0,281600.0,12582912.0,180355072.0,1140850688.0,88064.0,88080384.0,1229019136.0,150784000.0,281600.0,12582912.0,163648512.0,1573022720.0,0.176128,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,9.290752,1024,9513730048.0,0.0,1.57302272,14.61456398188544,0.0471906816,100,True,0.0157302272
hires,2048,2048,128,128,5,32,256,50.0,ws,9290752.0,0.0,180355072,155200256.0,142606336.0,11008.0,12582912.0,163648512.0,150784000.0,281600.0,12582912.0,180355072.0,1140850688.0,88064.0,88080384.0,1229019136.0,150784000.0,281600.0,12582912.0,163648512.0,1573022720.0,0.176128,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,9.290752,1024,9513730048.0,0.0,1.57302272,14.61456398188544,0.0471906816,200,True,0.0078651136
hires,2048,2048,128,128,7,64,256,50.0,ws,9339904.0,0.0,281018368,255869696.0,243269632.0,17152.0,12582912.0,269875712.0,256332800.0,960000.0,12582912.0,281018368.0,1946157056.0,137216.0,88080384.0,2034374656.0,256332800.0,960000.0,12582912.0,269875712.0,2585268736.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,9.339903999999999,4096,38256246784.0,0.0,2.585268736,24.14616180844134,0.07755806208,33,True,0.07834147684848485
hires,2048,2048,128,128,7,64,256,50.0,ws,9339904.0,0.0,281018368,255869696.0,243269632.0,17152.0,12582912.0,269875712.0,256332800.0,960000.0,12582912.0,281018368.0,1946157056.0,137216.0,88080384.0,2034374656.0,256332800.0,960000.0,12582912.0,269875712.0,2585268736.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,9.339903999999999,4096,38256246784.0,0.0,2.585268736,24.14616180844134,0.07755806208,100,True,0.02585268736
hires,2048,2048,128,128,7,64,256,50.0,ws,9339904.0,0.0,281018368,255869696.0,243269632.0,17152.0,12582912.0,269875712.0,256332800.0,960000.0,12582912.0,281018368.0,1946157056.0,137216.0,88080384.0,2034374656.0,256332800.0,960000.0,12582912.0,269875712.0,2585268736.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,9.339903999999999,4096,38256246784.0,0.0,2.585268736,24.14616180844134,0.07755806208,200,True,0.01292634368
hires,2048,2048,128,128,11,128,256,50.0,ws,15366656.0,5928448.0,583008256,557878016.0,545259520.0,35584.0,12582912.0,574208512.0,557900800.0,3724800.0,12582912.0,583008256.0,4362076160.0,284672.0,88080384.0,4450441216.0,557900800.0,3724800.0,12582912.0,574208512.0,5607657984.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,15.366655999999999,16384,251767291904.0,38.579948688901474,5.607657984,86.1709512057815,0.16822973952,33,True,0.16992902981818184
hires,2048,2048,128,128,11,128,256,50.0,ws,15366656.0,5928448.0,583008256,557878016.0,545259520.0,35584.0,12582912.0,574208512.0,557900800.0,3724800.0,12582912.0,583008256.0,4362076160.0,284672.0,88080384.0,4450441216.0,557900800.0,3724800.0,12582912.0,574208512.0,5607657984.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,15.366655999999999,16384,251767291904.0,38.579948688901474,5.607657984,86.1709512057815,0.16822973952,100,True,0.05607657984
hires,2048,2048,128,128,11,128,256,50.0,ws,15366656.0,5928448.0,583008256,557878016.0,545259520.0,35584.0,12582912.0,574208512.0,557900800.0,3724800.0,12582912.0,583008256.0,4362076160.0,284672.0,88080384.0,4450441216.0,557900800.0,3724800.0,12582912.0,574208512.0,5607657984.0,0.08388608,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,15.366655999999999,16384,251767291904.0,38.579948688901474,5.607657984,86.1709512057815,0.16822973952,200,True,0.02803828992
