resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,8,4096,800.0,os,sobel,5989935.0,4.32082663104,accelergy,11977335.0,8.2207962096,50.010582487673595,52.559709800302166
1080p,1920,1080,128,128,3,8,4096,800.0,ws,gaussian,4199580.0,6.4644224974485,accelergy,8404350.0,13.6679139921855,49.96912313266344,47.29633579158072
1080p,1920,1080,128,128,3,8,4096,800.0,ws,sobel,4204770.0,7.203491494737,accelergy,8404350.0,13.6679139921855,50.03087686733656,52.703664208419276
1080p,1920,1080,128,128,3,16,256,50.0,os,gaussian,5254680.0,15.48274976844,accelergy,10550865.0,31.318806927719997,49.80330996558102,49.43595011193212
1080p,1920,1080,128,128,3,16,256,50.0,os,sobel,5296185.0,15.83605715928,accelergy,10550865.0,31.318806927719997,50.19669003441898,50.564049888067885
1080p,1920,1080,128,128,3,16,256,50.0,ws,gaussian,2280090.0,4.147162858336125,accelergy,4601685.0,8.639957946528373,49.549023890161976,47.99980374907379
1080p,1920,1080,128,128,3,16,256,50.0,ws,sobel,2321595.0,4.492795088192249,accelergy,4601685.0,8.639957946528373,50.45097610983803,52.00019625092622
1080p,1920,1080,128,128,3,16,256,200.0,os,gaussian,5104335.0,15.50926976844,accelergy,10219050.0,31.37184692772,49.949212500183485,49.436903744216885
1080p,1920,1080,128,128,3,16,256,200.0,os,sobel,5114715.0,15.86257715928,accelergy,10219050.0,31.37184692772,50.050787499816515,50.563096255783115
1080p,1920,1080,128,128,3,16,256,200.0,ws,gaussian,2129745.0,4.1544828583361255,accelergy,4269870.0,8.654597946528376,49.87845063198645,48.00318725380669
1080p,1920,1080,128,128,3,16,256,200.0,ws,sobel,2140125.0,4.50011508819225,accelergy,4269870.0,8.654597946528376,50.121549368013554,51.9968127461933
1080p,1920,1080,128,128,3,16,256,800.0,os,gaussian,5066775.0,15.57310976844,accelergy,10136085.0,31.499526927719998,49.98749517195248,49.43918619531857
1080p,1920,1080,128,128,3,16,256,800.0,os,sobel,5069310.0,15.92641715928,accelergy,10136085.0,31.499526927719998,50.01250482804751,50.56081380468144
1080p,1920,1080,128,128,3,16,256,800.0,ws,gaussian,2092185.0,4.179922858336125,accelergy,4186905.0,8.705477946528376,49.969727041812504,48.01485781723243
