resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,reason
720p,1280,720,128,128,11,128,256,200.0,os,run_96e7ffc12a74,b5c2819fa8f9,96e7ffc12a74,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,200.0,os,run_96e7ffc12a74,46a55e7bf27b,96e7ffc12a74,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,200.0,os,run_96e7ffc12a74,cb5272add8e4,96e7ffc12a74,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
720p,1280,720,128,128,11,128,256,800.0,os,run_b6bda5dc9693,976822c4f4a1,b6bda5dc9693,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,800.0,os,run_b6bda5dc9693,f2db383519ab,b6bda5dc9693,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,800.0,os,run_b6bda5dc9693,10c1587777f6,b6bda5dc9693,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
720p,1280,720,128,128,11,128,256,50.0,os,run_c7eac60cfea1,4928c23af91a,c7eac60cfea1,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,50.0,os,run_c7eac60cfea1,cdf5e9ce288a,c7eac60cfea1,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
hires,2048,2048,128,128,11,128,256,50.0,os,run_c7eac60cfea1,8598f0c88aa4,c7eac60cfea1,full,SCALE-Sim output-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles on 128x128 arrays; this case is severely underutilized and excluded from simulator execution.
