resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_read_pj_per_access,sram_write_pj_per_access,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,128,128,50,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,98495.0,93695.0,0.0,4924750.0,0.0,99123200,104678400.0,99123200.0,3097600.0,2457600.0,142589200.0,141570000.0,200000.0,819200.0,2.066278883611719,3.125,2.0662568306011093,0.12510000000000002,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,22798336.0,2090101882.88,65315683.84,42192015.36,2197609582.0800004,22651200000.0,32000000.0,131072000.0,22814272000.0,25034679918.08,25.034679918080002
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,1862600.0,0.0,14745600,11110400.0,7372800.0,460800.0,3276800.0,9038400.0,7380000.0,20000.0,1638400.0,0.7922753156721961,6.25,0.7922535211267545,0.12510000000000002,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,3391488.0,155462123.52,9716382.72,56256020.48,221434526.72,1180800000.0,3200000.0,262144000.0,1446144000.0,1670970014.72,1.67097001472
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,128,128,120,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,98495.0,93695.0,0.0,11819400.0,0.0,237895680,251228160.0,237895680.0,7434240.0,5898240.0,342214080.0,339768000.0,480000.0,1966080.0,2.066278883611719,3.125,2.0662568306011093,0.281475,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,54716006.400000006,5016244518.912001,156757641.21600002,101260836.864,5274262996.992001,54362880000.0,76800000.0,314572800.0,54754252800.0,60083231803.392,60.083231803391996
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,4470240.0,0.0,35389440,26664960.0,17694720.0,1105920.0,7864320.0,21692160.0,17712000.0,48000.0,3932160.0,0.7922753156721961,6.25,0.7922535211267545,0.281475,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,8139571.2,373109096.448,23319318.528,135014449.15199998,531442864.128,2833920000.0,7680000.0,629145600.0,3470745600.0,4010328035.328,4.010328035328
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,128,128,256,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,98495.0,93695.0,0.0,25214720.0,0.0,507510784,535953408.0,507510784.0,15859712.0,12582912.0,730056704.0,724838400.0,1024000.0,4194304.0,2.066278883611719,3.125,2.0662568306011093,0.569344,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,116727480.32000001,10701321640.345602,334416301.26080006,216023118.64319998,11251761060.249601,115974144000.0,163840000.0,671088640.0,116809072640.0,128177561180.5696,128.1775611805696
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,9536512.0,0.0,75497472,56885248.0,37748736.0,2359296.0,16777216.0,46276608.0,37785600.0,102400.0,8388608.0,0.7922753156721961,6.25,0.7922535211267545,0.569344,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,17364418.560000002,795966072.4224001,49747879.52640001,288030824.8576,1133744776.8064,6045696000.0,16384000.0,1342177280.0,7404257280.0,8555366475.3664,8.5553664753664
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,10929.0,10621.0,0.0,109290.0,0.0,12390400,12494010.0,12390400.0,1210.0,102400.0,14470400.0,14208000.0,160000.0,102400.0,0.7120327652763393,0.738525390625,0.7035538189599033,0.007818750000000001,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,41.2937,35.3969,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,2849792.0,127911365.12,12491.34425,906160.64,128830017.10425,2273280000.0,25600000.0,16384000.0,2315264000.0,2446943809.10425,2.44694380910425
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,10942.0,10621.0,0.0,109420.0,0.0,1843200,1126580.0,921600.0,180.0,204800.0,2588800.0,2368000.0,16000.0,204800.0,0.1059222295452405,0.10986328125,0.10466089868825,0.007818750000000001,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,41.2937,35.3969,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,423936.0,9514068.48,1858.2165,1812321.28,11328247.976499999,378880000.0,2560000.0,32768000.0,414208000.0,425960183.9765,0.4259601839765
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,3870950.0,0.0,20480000,23758050.0,20480000.0,1250.0,3276800.0,29501800.0,26215000.0,10000.0,3276800.0,9.752678176858725,9.765625,9.748370194358133,0.6192,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,4710400.0,431839232.00000006,26357.375000000004,56256020.48,488121609.8550001,4194400000.0,1600000.0,524288000.0,4720288000.0,5213120009.8550005,5.213120009855
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,1968200.0,0.0,14745600,10650500.0,7372800.0,900.0,3276800.0,16389300.0,13107500.0,5000.0,3276800.0,14.044070586083937,14.0625,14.037653079875708,0.6192,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,3391488.0,155462123.52,18977.31,56256020.48,211737121.31,2097200000.0,800000.0,524288000.0,2622288000.0,2837416609.31,2.83741660931
