resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12218880000.0,34560000.0,995328000.0,13248768000.0,13762386362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.199865,0.0,13.762386362130375,57.800164798788686,0.41287159086391123,200,True,0.06881193181065187
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12177600000.0,25920000.0,995328000.0,13198848000.0,13712466362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.28283,0.0,13.712466362130375,58.728162309722826,0.41137399086391124,200,True,0.06856233181065187
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12156960000.0,23760000.0,995328000.0,13176048000.0,13689666362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.614644999999999,0.0,13.689666362130374,63.172950429673115,0.4106899908639113,200,True,0.06844833181065187
1080p,1920,1080,128,128,7,64,256,800.0,ws,4225785.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,134632800.0,127872000.0,540000.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20459520000.0,86400000.0,995328000.0,21541248000.0,22394148985.533375,0.033918750000000004,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.225785,0.0,22.394148985533374,94.63285887083215,0.6718244695660012,33,True,0.6786105753191932
1080p,1920,1080,128,128,7,64,256,200.0,ws,4308750.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,134173800.0,127440000.0,513000.0,6220800.0,31954176.0,792219605.7600001,59580.093375000004,28667623.679999996,820946809.5333751,20390400000.0,82080000.0,995328000.0,21467808000.0,22320708985.533375,0.033918750000000004,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.30875,0.0,22.320708985533376,96.17435484141693,0.6696212695660012,33,True,0.6763851207737387
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20355840000.0,81000000.0,995328000.0,21432168000.0,22285068985.533375,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.6405650000000005,0.0,22.285068985533375,103.4153111568517,0.6685520695660012,33,True,0.6753051207737386
1080p,1920,1080,128,128,7,64,256,800.0,ws,4225785.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,134632800.0,127872000.0,540000.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20459520000.0,86400000.0,995328000.0,21541248000.0,22394148985.533375,0.033918750000000004,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.225785,0.0,22.394148985533374,94.63285887083215,0.6718244695660012,100,True,0.22394148985533374
1080p,1920,1080,128,128,7,64,256,200.0,ws,4308750.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,134173800.0,127440000.0,513000.0,6220800.0,31954176.0,792219605.7600001,59580.093375000004,28667623.679999996,820946809.5333751,20390400000.0,82080000.0,995328000.0,21467808000.0,22320708985.533375,0.033918750000000004,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.30875,0.0,22.320708985533376,96.17435484141693,0.6696212695660012,100,True,0.22320708985533375
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20355840000.0,81000000.0,995328000.0,21432168000.0,22285068985.533375,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.6405650000000005,0.0,22.285068985533375,103.4153111568517,0.6685520695660012,100,True,0.22285068985533374
1080p,1920,1080,128,128,7,64,256,800.0,ws,4225785.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,134632800.0,127872000.0,540000.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20459520000.0,86400000.0,995328000.0,21541248000.0,22394148985.533375,0.033918750000000004,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.225785,0.0,22.394148985533374,94.63285887083215,0.6718244695660012,200,True,0.11197074492766687
