resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,128,1024,200.0,os,8738610.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,43906800.0,37362000.0,324000.0,6220800.0,11197440.0,186624000.0,2187000.0,72576000.0,261387000.0,3736200000.0,32400000.0,622080000.0,4390680000.0,4663264440.0,0.010368,accelergy,8.738610000000001,0.0,4.66326444,40.750449268028405,0.1398979332,100,True,0.0466326444
1080p,1920,1080,128,128,3,64,1024,200.0,os,8965410.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43744800.0,37362000.0,162000.0,6220800.0,11197440.0,186624000.0,4374000.0,72576000.0,263574000.0,3736200000.0,16200000.0,622080000.0,4374480000.0,4649251440.0,0.01366875,accelergy,8.96541,0.0,4.64925144,41.6824453526904,0.1394775432,100,True,0.0464925144
1080p,1920,1080,128,128,3,32,1024,200.0,os,9419010.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43690800.0,37362000.0,108000.0,6220800.0,11197440.0,186624000.0,8748000.0,72576000.0,267948000.0,3736200000.0,10800000.0,622080000.0,4369080000.0,4648225440.0,0.054675,accelergy,9.41901,0.0,4.64822544,43.7816819016144,0.1394467632,100,True,0.0464822544
1080p,1920,1080,128,128,3,64,1024,50.0,os,9618735.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43719300.0,37336500.0,162000.0,6220800.0,11197440.0,186624000.0,4374000.0,72576000.0,263574000.0,3733650000.0,16200000.0,622080000.0,4371930000.0,4646701440.0,0.041472,accelergy,9.618735,0.0,4.64670144,44.6953897754784,0.1394010432,100,True,0.0464670144
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,11197440.0,186624000.0,8748000.0,72576000.0,267948000.0,3733650000.0,8100000.0,622080000.0,4363830000.0,4642975440.0,0.054675,accelergy,10.072335,0.0,4.64297544,46.7656040284524,0.1392892632,100,True,0.0464297544
1080p,1920,1080,128,128,3,16,256,800.0,ws,4186905.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,11197440.0,186624000.0,18225.0,31104000.0,217746225.0,4617600000.0,21600000.0,622080000.0,5261280000.0,5490223665.0,0.2187,accelergy,4.186905,0.0,5.490223665,22.98704491410683,0.16470670995,200,True,0.027451118325
1080p,1920,1080,128,128,3,16,256,200.0,ws,4269870.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52294800.0,46020000.0,54000.0,6220800.0,11197440.0,186624000.0,18225.0,31104000.0,217746225.0,4602000000.0,5400000.0,622080000.0,5229480000.0,5458423665.0,0.2187,accelergy,4.26987,0.0,5.458423665,23.30675945447355,0.16375270995,200,True,0.027292118325
1080p,1920,1080,128,128,3,16,256,50.0,ws,4601685.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52203300.0,45942000.0,40500.0,6220800.0,11197440.0,186624000.0,18225.0,31104000.0,217746225.0,4594200000.0,4050000.0,622080000.0,5220330000.0,5449273665.0,0.2187,accelergy,4.601685000000001,0.0,5.449273665,25.075840885125526,0.16347820995,200,True,0.027246368325
1080p,1920,1080,128,128,3,128,1024,800.0,os,8575335.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,44116800.0,37464000.0,432000.0,6220800.0,11197440.0,186624000.0,2187000.0,72576000.0,261387000.0,3746400000.0,43200000.0,622080000.0,4411680000.0,4684264440.0,0.0034171875,accelergy,8.575334999999999,0.0,4.68426444,40.16913680158739,0.1405279332,200,True,0.0234213222
1080p,1920,1080,128,128,3,128,1024,200.0,os,8738610.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,43906800.0,37362000.0,324000.0,6220800.0,11197440.0,186624000.0,2187000.0,72576000.0,261387000.0,3736200000.0,32400000.0,622080000.0,4390680000.0,4663264440.0,0.010368,accelergy,8.738610000000001,0.0,4.66326444,40.750449268028405,0.1398979332,200,True,0.0233163222
1080p,1920,1080,128,128,3,64,1024,200.0,os,8965410.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43744800.0,37362000.0,162000.0,6220800.0,11197440.0,186624000.0,4374000.0,72576000.0,263574000.0,3736200000.0,16200000.0,622080000.0,4374480000.0,4649251440.0,0.01366875,accelergy,8.96541,0.0,4.64925144,41.6824453526904,0.1394775432,200,True,0.0232462572
1080p,1920,1080,128,128,3,32,1024,200.0,os,9419010.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43690800.0,37362000.0,108000.0,6220800.0,11197440.0,186624000.0,8748000.0,72576000.0,267948000.0,3736200000.0,10800000.0,622080000.0,4369080000.0,4648225440.0,0.054675,accelergy,9.41901,0.0,4.64822544,43.7816819016144,0.1394467632,200,True,0.0232411272
1080p,1920,1080,128,128,3,64,1024,50.0,os,9618735.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43719300.0,37336500.0,162000.0,6220800.0,11197440.0,186624000.0,4374000.0,72576000.0,263574000.0,3733650000.0,16200000.0,622080000.0,4371930000.0,4646701440.0,0.041472,accelergy,9.618735,0.0,4.64670144,44.6953897754784,0.1394010432,200,True,0.0232335072
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,11197440.0,186624000.0,8748000.0,72576000.0,267948000.0,3733650000.0,8100000.0,622080000.0,4363830000.0,4642975440.0,0.054675,accelergy,10.072335,0.0,4.64297544,46.7656040284524,0.1392892632,200,True,0.0232148772
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7636800000.0,21600000.0,622080000.0,8280480000.0,8681957985.0,0.087075,accelergy,4.199865,0.0,8.681957985,36.46305147267203,0.26045873955,33,True,0.2630896359090909
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7611000000.0,16200000.0,622080000.0,8249280000.0,8650757985.0,0.087075,accelergy,4.28283,0.0,8.650757985,37.04972582089755,0.25952273955,33,True,0.2621441813636364
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7598100000.0,14850000.0,622080000.0,8235030000.0,8636507985.0,0.087075,accelergy,4.614644999999999,0.0,8.636507985,39.854418390440316,0.25909523955,33,True,0.26171236318181823
1080p,1920,1080,128,128,5,128,4096,800.0,os,8875920.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77440800.0,70572000.0,648000.0,6220800.0,17832960.0,352512000.0,3483000.0,72576000.0,428571000.0,7057200000.0,64800000.0,622080000.0,7744080000.0,8190483960.0,0.0054421875,accelergy,8.87592,0.0,8.19048396,72.6980803902432,0.2457145188,33,True,0.24819648363636365
1080p,1920,1080,128,128,5,128,4096,200.0,os,9163605.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77335800.0,70521000.0,594000.0,6220800.0,17832960.0,352512000.0,3483000.0,72576000.0,428571000.0,7052100000.0,59400000.0,622080000.0,7733580000.0,8179983960.0,0.010368,accelergy,9.163605,0.0,8.17998396,74.9581419157758,0.2453995188,33,True,0.24787830181818182
1080p,1920,1080,128,128,5,64,4096,800.0,os,9361920.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77116800.0,70572000.0,324000.0,6220800.0,17832960.0,352512000.0,6966000.0,72576000.0,432054000.0,7057200000.0,32400000.0,622080000.0,7711680000.0,8161566960.0,0.02176875,accelergy,9.36192,0.0,8.16156696,76.40793695416319,0.2448470088,33,True,0.2473202109090909
1080p,1920,1080,128,128,5,64,4096,200.0,os,9649605.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77038800.0,70521000.0,297000.0,6220800.0,17832960.0,352512000.0,6966000.0,72576000.0,432054000.0,7052100000.0,29700000.0,622080000.0,7703880000.0,8153766960.0,0.02176875,accelergy,9.649605000000001,0.0,8.15376696,78.68063042605081,0.2446130088,33,True,0.2470838472727273
1080p,1920,1080,128,128,5,32,4096,200.0,os,10621605.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76903800.0,70521000.0,162000.0,6220800.0,17832960.0,352512000.0,13932000.0,72576000.0,439020000.0,7052100000.0,16200000.0,622080000.0,7690380000.0,8147232960.0,0.087075,accelergy,10.621604999999999,0.0,8.14723296,86.53669034410079,0.2444169888,33,True,0.2468858472727273
