resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7611000000.0,16200000.0,622080000.0,8249280000.0,8650757985.0,0.087075,accelergy,4.28283,0.0,8.650757985,37.04972582089755,0.25952273955,200,True,0.043253789925
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7598100000.0,14850000.0,622080000.0,8235030000.0,8636507985.0,0.087075,accelergy,4.614644999999999,0.0,8.636507985,39.854418390440316,0.25909523955,200,True,0.043182539925
1080p,1920,1080,128,128,5,128,4096,800.0,os,8875920.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77440800.0,70572000.0,648000.0,6220800.0,17832960.0,352512000.0,3483000.0,72576000.0,428571000.0,7057200000.0,64800000.0,622080000.0,7744080000.0,8190483960.0,0.0054421875,accelergy,8.87592,0.0,8.19048396,72.6980803902432,0.2457145188,200,True,0.0409524198
1080p,1920,1080,128,128,5,128,4096,200.0,os,9163605.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77335800.0,70521000.0,594000.0,6220800.0,17832960.0,352512000.0,3483000.0,72576000.0,428571000.0,7052100000.0,59400000.0,622080000.0,7733580000.0,8179983960.0,0.010368,accelergy,9.163605,0.0,8.17998396,74.9581419157758,0.2453995188,200,True,0.0408999198
1080p,1920,1080,128,128,5,64,4096,800.0,os,9361920.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77116800.0,70572000.0,324000.0,6220800.0,17832960.0,352512000.0,6966000.0,72576000.0,432054000.0,7057200000.0,32400000.0,622080000.0,7711680000.0,8161566960.0,0.02176875,accelergy,9.36192,0.0,8.16156696,76.40793695416319,0.2448470088,200,True,0.0408078348
1080p,1920,1080,128,128,5,64,4096,200.0,os,9649605.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77038800.0,70521000.0,297000.0,6220800.0,17832960.0,352512000.0,6966000.0,72576000.0,432054000.0,7052100000.0,29700000.0,622080000.0,7703880000.0,8153766960.0,0.02176875,accelergy,9.649605000000001,0.0,8.15376696,78.68063042605081,0.2446130088,200,True,0.0407688348
1080p,1920,1080,128,128,5,32,4096,200.0,os,10621605.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76903800.0,70521000.0,162000.0,6220800.0,17832960.0,352512000.0,13932000.0,72576000.0,439020000.0,7052100000.0,16200000.0,622080000.0,7690380000.0,8147232960.0,0.087075,accelergy,10.621604999999999,0.0,8.14723296,86.53669034410079,0.2444169888,200,True,0.0407361648
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,17832960.0,352512000.0,13932000.0,72576000.0,439020000.0,7050825000.0,14850000.0,622080000.0,7687755000.0,8144607960.0,0.087075,accelergy,11.77257,0.0,8.14460796,95.8829673316572,0.2443382388,200,True,0.0407230398
1080p,1920,1080,128,128,7,64,256,800.0,ws,4225785.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,134632800.0,127872000.0,540000.0,6220800.0,27786240.0,601344000.0,45225.0,31104000.0,632493225.0,12787200000.0,54000000.0,622080000.0,13463280000.0,14123559465.0,0.033918750000000004,accelergy,4.225785,0.0,14.123559465,59.68312573380503,0.42370678395,33,True,0.4279866504545455
1080p,1920,1080,128,128,7,64,256,200.0,ws,4308750.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,134173800.0,127440000.0,513000.0,6220800.0,27786240.0,601344000.0,45225.0,31104000.0,632493225.0,12744000000.0,51300000.0,622080000.0,13417380000.0,14077659465.0,0.033918750000000004,accelergy,4.30875,0.0,14.077659465,60.65711521981875,0.42232978395,33,True,0.4265957413636364
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,27786240.0,601344000.0,45225.0,31104000.0,632493225.0,12722400000.0,50625000.0,622080000.0,13395105000.0,14055384465.0,0.041472,accelergy,4.6405650000000005,0.0,14.055384465,65.22492520982273,0.42166153395,33,True,0.4259207413636364
1080p,1920,1080,128,128,7,128,4096,800.0,os,9327000.0,0.0,138931200,135869400.0,120268800.0,1085400.0,14515200.0,127696800.0,120396000.0,1080000.0,6220800.0,27786240.0,601344000.0,5427000.0,72576000.0,679347000.0,12039600000.0,108000000.0,622080000.0,12769680000.0,13476813240.0,0.008479687500000001,accelergy,9.327,0.0,13.47681324,125.69823708948,0.4043043972,33,True,0.40838828
1080p,1920,1080,128,128,7,128,4096,200.0,os,9801360.0,0.0,138931200,135869400.0,120268800.0,1085400.0,14515200.0,127558800.0,120312000.0,1026000.0,6220800.0,27786240.0,601344000.0,5427000.0,72576000.0,679347000.0,12031200000.0,102600000.0,622080000.0,12755880000.0,13463013240.0,0.010368,accelergy,9.80136,0.0,13.46301324,131.9558394500064,0.4038903972,33,True,0.4079700981818182
1080p,1920,1080,128,128,7,64,4096,800.0,os,10201800.0,0.0,138931200,136954800.0,120268800.0,2170800.0,14515200.0,127156800.0,120396000.0,540000.0,6220800.0,27786240.0,601344000.0,10854000.0,72576000.0,684774000.0,12039600000.0,54000000.0,622080000.0,12715680000.0,13428240240.0,0.033918750000000004,accelergy,10.2018,0.0,13.42824024,136.992221280432,0.4028472072,33,True,0.40691637090909094
1080p,1920,1080,128,128,7,64,4096,200.0,os,10676160.0,0.0,138931200,136954800.0,120268800.0,2170800.0,14515200.0,127045800.0,120312000.0,513000.0,6220800.0,27786240.0,601344000.0,10854000.0,72576000.0,684774000.0,12031200000.0,51300000.0,622080000.0,12704580000.0,13417140240.0,0.033918750000000004,accelergy,10.676160000000001,0.0,13.41714024,143.24353594467843,0.4025142072,33,True,0.4065800072727273
